InstanceName: vrplc10_11_15_s7
T: 150
Q: 15
C: 7
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1         9        -5
       L-2        -1         5
       L-3        -3        -9
       L-4        12        -1
       L-5        -6         7
       L-6         8        -6
       L-7       -10        -2
       L-8       -12        15
       L-9        -8         8
      L-10       -14         9
      L-11         4         6

        R         L         A         B         S         Q
     R-P1      L-11         9        30        10         3
     R-P2       L-7        11        46        16         2
     R-P3       L-5        26        49        13         3
     R-P4      L-10        17        55        15         3
     R-P5       L-5        19        35        16         2
     R-P6      L-10        17        51        17         1
     R-P7      L-10        30        60        12         4
     R-P8      L-10        17        41        12         2
     R-P9      L-10        28        66        15         3
    R-P10       L-3        10        25        10         3
    R-P11       L-9        28        62        19         4
    R-P12      L-10        24        46        19         3
    R-P13       L-6        10        30        19         1
    R-P14       L-8        20        58        14         2
    R-P15      L-11        35        70        16         2
     R-D1       L-5        30        75        10        -3
     R-D2       L-1        47       101        16        -2
     R-D3       L-7        49        96        13        -3
     R-D4       L-7        44       102        15        -3
     R-D5       L-6        55       103        16        -2
     R-D6       L-3        56       120        17        -1
     R-D7       L-6        69       113        12        -4
     R-D8       L-2        43        98        12        -2
     R-D9       L-3        65       109        15        -3
    R-D10       L-9        38        93        10        -3
    R-D11       L-7        58       110        19        -4
    R-D12       L-8        50        91        19        -3
    R-D13       L-9        51       119        19        -1
    R-D14       L-9        43        87        14        -2
    R-D15       L-9        64       113        16        -2
