InstanceName: vrplc10_5_40_s5
T: 150
Q: 15
C: 5
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1         9        -5
       L-2        -1         5
       L-3        -3        -9
       L-4        12        -1
       L-5        -6         7

        R         L         A         B         S         Q
     R-P1       L-1        11        34        18         3
     R-P2       L-5        40        74        11         2
     R-P3       L-3        13        30        18         1
     R-P4       L-2         7        34        18         4
     R-P5       L-2        45        63        13         2
     R-P6       L-1        13        38        19         1
     R-P7       L-4        36        72        18         3
     R-P8       L-2        15        46        17         4
     R-P9       L-5        15        42        11         2
    R-P10       L-2        24        47        11         1
    R-P11       L-4        19        48        14         4
    R-P12       L-4        53        68        15         4
    R-P13       L-4        49        88        15         3
    R-P14       L-2        34        59        10         4
    R-P15       L-4        48        81        17         2
    R-P16       L-4        42        71        11         4
    R-P17       L-1        29        49        11         4
    R-P18       L-3        10        40        15         1
    R-P19       L-1        11        34        12         1
    R-P20       L-4        13        34        13         4
    R-P21       L-2        32        62        17         3
    R-P22       L-4        52        79        15         4
    R-P23       L-1        57        83        11         3
    R-P24       L-2        35        72        11         3
    R-P25       L-3        22        52        11         2
    R-P26       L-4        42        65        11         2
    R-P27       L-2        20        51        16         1
    R-P28       L-4        17        35        17         3
    R-P29       L-2        13        39        17         3
    R-P30       L-5        34        56        17         3
    R-P31       L-1        11        32        10         2
    R-P32       L-5        24        46        10         2
    R-P33       L-4        24        62        12         3
    R-P34       L-5        36        68        17         3
    R-P35       L-1        11        37        12         4
    R-P36       L-1        16        45        14         2
    R-P37       L-4        32        62        19         1
    R-P38       L-5        16        38        10         1
    R-P39       L-3        10        25        18         4
    R-P40       L-2        28        63        15         2
     R-D1       L-4        34       103        18        -3
     R-D2       L-2        57       124        11        -2
     R-D3       L-2        46       115        18        -1
     R-D4       L-5        31        89        18        -4
     R-D5       L-5        64       119        13        -2
     R-D6       L-2        47       111        19        -1
     R-D7       L-2        69       123        18        -3
     R-D8       L-3        47       116        17        -4
     R-D9       L-4        46       109        11        -2
    R-D10       L-4        50        91        11        -1
    R-D11       L-2        48       108        14        -4
    R-D12       L-2        83       126        15        -4
    R-D13       L-2        79       122        15        -3
    R-D14       L-4        59       108        10        -4
    R-D15       L-3        82       123        17        -2
    R-D16       L-2        68       128        11        -4
    R-D17       L-4        45        96        11        -4
    R-D18       L-4        42       102        15        -1
    R-D19       L-4        28        97        12        -1
    R-D20       L-1        31        83        13        -4
    R-D21       L-3        64       107        17        -3
    R-D22       L-2        82       127        15        -4
    R-D23       L-4        73       115        11        -3
    R-D24       L-3        61       117        11        -3
    R-D25       L-4        50       118        11        -2
    R-D26       L-1        58       113        11        -2
    R-D27       L-3        51       116        16        -1
    R-D28       L-1        39       107        17        -3
    R-D29       L-3        45       102        17        -3
    R-D30       L-3        68       116        17        -3
    R-D31       L-2        36        91        10        -2
    R-D32       L-3        51       112        10        -2
    R-D33       L-3        53        93        12        -3
    R-D34       L-3        70       118        17        -3
    R-D35       L-5        43       100        12        -4
    R-D36       L-2        45       112        14        -2
    R-D37       L-5        71       115        19        -1
    R-D38       L-1        46        95        10        -1
    R-D39       L-5        45        89        18        -4
    R-D40       L-4        58       119        15        -2
