InstanceName: vrplc10_8_30_s10
T: 150
Q: 15
C: 10
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1         9        -5
       L-2        -1         5
       L-3        -3        -9
       L-4        12        -1
       L-5        -6         7
       L-6         8        -6
       L-7       -10        -2
       L-8       -12        15

        R         L         A         B         S         Q
     R-P1       L-7        11        46        16         2
     R-P2       L-5        26        49        13         3
     R-P3       L-5        19        35        16         2
     R-P4       L-1        11        34        18         3
     R-P5       L-4        22        38        18         1
     R-P6       L-7        15        46        17         4
     R-P7       L-5        40        74        11         2
     R-P8       L-3        36        74        19         4
     R-P9       L-3        13        30        18         1
    R-P10       L-3        13        46        14         1
    R-P11       L-6        10        27        10         1
    R-P12       L-2         7        34        18         4
    R-P13       L-8        20        47        14         3
    R-P14       L-5        21        42        10         2
    R-P15       L-2        45        63        13         2
    R-P16       L-1        62        92        13         4
    R-P17       L-1        13        38        19         1
    R-P18       L-7        36        71        13         4
    R-P19       L-7        15        54        10         1
    R-P20       L-4        36        72        18         3
    R-P21       L-6        40        63        11         3
    R-P22       L-7        22        55        14         4
    R-P23       L-2        15        46        17         4
    R-P24       L-7        24        63        12         4
    R-P25       L-5        15        42        11         2
    R-P26       L-6        48        73        17         2
    R-P27       L-3        24        51        14         3
    R-P28       L-4        45        77        14         1
    R-P29       L-6        10        40        12         2
    R-P30       L-7        13        39        19         3
     R-D1       L-1        47       101        16        -2
     R-D2       L-7        49        96        13        -3
     R-D3       L-6        55       103        16        -2
     R-D4       L-4        34       103        18        -3
     R-D5       L-7        63       112        18        -1
     R-D6       L-1        52       112        17        -4
     R-D7       L-2        57       124        11        -2
     R-D8       L-7        65       109        19        -4
     R-D9       L-2        46       115        18        -1
    R-D10       L-6        39       102        14        -1
    R-D11       L-1        22        66        10        -1
    R-D12       L-5        31        89        18        -4
    R-D13       L-1        63       113        14        -3
    R-D14       L-7        41        85        10        -2
    R-D15       L-5        64       119        13        -2
    R-D16       L-6        77       122        13        -4
    R-D17       L-2        47       111        19        -1
    R-D18       L-1        69       111        13        -4
    R-D19       L-2        37        91        10        -1
    R-D20       L-2        69       123        18        -3
    R-D21       L-3        63       104        11        -3
    R-D22       L-4        59        99        14        -4
    R-D23       L-3        47       116        17        -4
    R-D24       L-2        48        97        12        -4
    R-D25       L-4        46       109        11        -2
    R-D26       L-1        67       112        17        -2
    R-D27       L-6        50       111        14        -3
    R-D28       L-7        82       123        14        -1
    R-D29       L-2        37        83        12        -2
    R-D30       L-1        52       115        19        -3
