InstanceName: vrplc10_11_15_s1
T: 3450
R: 30
Q: 15
C: 1

         L         X         Y
       L-D         0         0
       L-1       207      -115
       L-2       -23       115
       L-3       -69      -207
       L-4       276       -23
       L-5      -138       161
       L-6       184      -138
       L-7      -230       -46
       L-8      -276       345
       L-9      -184       184
      L-10      -322       207
      L-11        92       138

         R         L         A         B         S         Q
       R-1      L-11       207       690       230         3
       R-2       L-7       253      1058       368         2
       R-3       L-5       598      1127       299         3
       R-4      L-10       391      1265       345         3
       R-5       L-5       437       805       368         2
       R-6      L-10       391      1173       391         1
       R-7      L-10       690      1380       276         4
       R-8      L-10       391       943       276         2
       R-9      L-10       644      1518       345         3
      R-10       L-3       230       575       230         3
      R-11       L-9       644      1426       437         4
      R-12      L-10       552      1058       437         3
      R-13       L-6       230       690       437         1
      R-14       L-8       460      1334       322         2
      R-15      L-11       805      1610       368         2
      R-16       L-5       690      1725       230         3
      R-17       L-1      1081      2323       368         2
      R-18       L-7      1127      2208       299         3
      R-19       L-7      1012      2346       345         3
      R-20       L-6      1265      2369       368         2
      R-21       L-3      1288      2760       391         1
      R-22       L-6      1587      2599       276         4
      R-23       L-2       989      2254       276         2
      R-24       L-3      1495      2507       345         3
      R-25       L-9       874      2139       230         3
      R-26       L-7      1334      2530       437         4
      R-27       L-8      1150      2093       437         3
      R-28       L-9      1173      2737       437         1
      R-29       L-9       989      2001       322         2
      R-30       L-9      1472      2599       368         2
