InstanceName: vrplc10_8_10_s3
T: 3450
R: 20
Q: 15
C: 3

         L         X         Y
       L-D         0         0
       L-1       207      -115
       L-2       -23       115
       L-3       -69      -207
       L-4       276       -23
       L-5      -138       161
       L-6       184      -138
       L-7      -230       -46
       L-8      -276       345

         R         L         A         B         S         Q
       R-1       L-7       253      1058       368         2
       R-2       L-5       598      1127       299         3
       R-3       L-5       437       805       368         2
       R-4       L-1       253       782       414         3
       R-5       L-4       506       874       414         1
       R-6       L-7       345      1058       391         4
       R-7       L-5       920      1702       253         2
       R-8       L-3       828      1702       437         4
       R-9       L-3       299       690       414         1
      R-10       L-3       299      1058       322         1
      R-11       L-1      1081      2323       368         2
      R-12       L-7      1127      2208       299         3
      R-13       L-6      1265      2369       368         2
      R-14       L-4       782      2369       414         3
      R-15       L-7      1449      2576       414         1
      R-16       L-1      1196      2576       391         4
      R-17       L-2      1311      2852       253         2
      R-18       L-7      1495      2507       437         4
      R-19       L-2      1058      2645       414         1
      R-20       L-6       897      2346       322         1
