InstanceName: vrplc11_8_40_s2
T: 150
Q: 15
C: 2
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -15        12
       L-2        -1        -6
       L-3        -3        -2
       L-4        13         1
       L-5         3        12
       L-6       -16        -4
       L-7        14        12
       L-8        11       -19

        R         L         A         B         S         Q
     R-P1       L-3         4        33        19         4
     R-P2       L-5        13        44        14         3
     R-P3       L-6        30        54        14         3
     R-P4       L-3        25        41        13         2
     R-P5       L-8        22        38        15         4
     R-P6       L-5        32        59        14         1
     R-P7       L-8        22        57        11         2
     R-P8       L-4        14        34        10         2
     R-P9       L-5        14        32        19         1
    R-P10       L-6        25        41        10         2
    R-P11       L-6        17        50        19         1
    R-P12       L-4        41        78        16         4
    R-P13       L-1        20        51        13         4
    R-P14       L-2        19        37        11         3
    R-P15       L-3         4        29        12         4
    R-P16       L-7        33        54        11         4
    R-P17       L-5        45        77        13         2
    R-P18       L-3        36        69        11         4
    R-P19       L-3        27        48        10         3
    R-P20       L-7        21        49        18         4
    R-P21       L-2         7        29        15         1
    R-P22       L-4        14        34        13         1
    R-P23       L-6        24        59        12         1
    R-P24       L-7        19        39        14         2
    R-P25       L-1        20        51        17         1
    R-P26       L-8        37        67        18         2
    R-P27       L-1        20        57        17         4
    R-P28       L-2         9        37        17         1
    R-P29       L-7        37        75        10         2
    R-P30       L-7        19        41        10         2
    R-P31       L-2        33        51        14         1
    R-P32       L-7        21        47        14         1
    R-P33       L-2         7        43        14         1
    R-P34       L-3         4        42        15         4
    R-P35       L-1        20        35        11         3
    R-P36       L-4        22        53        17         3
    R-P37       L-7        28        66        11         4
    R-P38       L-8        22        48        15         1
    R-P39       L-8        35        70        17         2
    R-P40       L-6        26        47        15         3
     R-D1       L-2        28        79        19        -4
     R-D2       L-8        60       107        14        -3
     R-D3       L-1        61       108        14        -3
     R-D4       L-5        54       121        13        -2
     R-D5       L-6        68       108        15        -4
     R-D6       L-4        61       104        14        -1
     R-D7       L-5        66       108        11        -2
     R-D8       L-8        45       113        10        -2
     R-D9       L-4        48       114        19        -1
    R-D10       L-4        65       114        10        -2
    R-D11       L-3        50        98        19        -1
    R-D12       L-7        69       112        16        -4
    R-D13       L-5        51       114        13        -4
    R-D14       L-6        46       102        11        -3
    R-D15       L-1        35        94        12        -4
    R-D16       L-3        67       126        11        -4
    R-D17       L-3        74       124        13        -2
    R-D18       L-2        52       110        11        -4
    R-D19       L-2        42        83        10        -3
    R-D20       L-6        73       115        18        -4
    R-D21       L-1        45        99        15        -1
    R-D22       L-8        48        98        13        -1
    R-D23       L-2        52       119        12        -1
    R-D24       L-6        67       114        14        -2
    R-D25       L-3        56       119        17        -1
    R-D26       L-2        73       113        18        -2
    R-D27       L-4        68       109        17        -4
    R-D28       L-7        50       109        17        -1
    R-D29       L-5        58       110        10        -2
    R-D30       L-5        40        82        10        -2
    R-D31       L-8        65       108        14        -1
    R-D32       L-4        47        87        14        -1
    R-D33       L-7        45        97        14        -1
    R-D34       L-6        33        78        15        -4
    R-D35       L-4        62       108        11        -3
    R-D36       L-3        56       125        17        -3
    R-D37       L-8        71       113        11        -4
    R-D38       L-4        58       108        15        -1
    R-D39       L-3        75       118        17        -2
    R-D40       L-1        58       104        15        -3
