InstanceName: vrplc11_11_20_s10
T: 3450
R: 40
Q: 15
C: 10

         L         X         Y
       L-D         0         0
       L-1      -345       276
       L-2       -23      -138
       L-3       -69       -46
       L-4       299        23
       L-5        69       276
       L-6      -368       -92
       L-7       322       276
       L-8       253      -437
       L-9      -276      -391
      L-10      -322       138
      L-11      -276        46

         R         L         A         B         S         Q
       R-1       L-7       529      1334       414         2
       R-2      L-11       621      1219       253         3
       R-3       L-3        92       759       437         4
       R-4       L-5       460      1150       345         2
       R-5       L-1       460      1150       299         4
       R-6      L-10       368       782       299         4
       R-7       L-5       299      1012       322         3
       R-8       L-9       920      1449       368         2
       R-9      L-11       713      1380       391         1
      R-10       L-6       690      1242       322         3
      R-11       L-9       506       897       299         2
      R-12      L-10       391      1012       345         1
      R-13       L-3       575       943       299         2
      R-14       L-8       506       874       345         4
      R-15       L-5       736      1357       322         1
      R-16       L-9       483       897       437         3
      R-17       L-8       506      1311       253         2
      R-18      L-10       437      1058       345         3
      R-19       L-5       299       759       437         3
      R-20      L-11      1058      1932       391         2
      R-21      L-11      1587      2507       414         2
      R-22       L-2      1196      2139       253         3
      R-23       L-2       644      1817       437         4
      R-24      L-10      1242      2576       345         2
      R-25      L-11      1012      2576       299         4
      R-26      L-11       782      1863       299         4
      R-27       L-8      1380      2461       322         3
      R-28       L-2      1656      2645       368         2
      R-29       L-6      1288      2392       391         1
      R-30       L-1      1403      2484       322         3
      R-31      L-11      1242      2507       299         2
      R-32       L-9      1288      2277       345         1
      R-33       L-5      1242      2783       299         2
      R-34       L-6      1564      2484       345         4
      R-35       L-4      1403      2392       322         1
      R-36      L-10      1472      2599       437         3
      R-37       L-5      1518      2484       253         2
      R-38       L-3      1104      2323       345         3
      R-39      L-10      1173      2415       437         3
      R-40      L-10      1564      2622       391         2
