InstanceName: vrplc11_5_20_s2
T: 3450
R: 40
Q: 15
C: 2

         L         X         Y
       L-D         0         0
       L-1      -345       276
       L-2       -23      -138
       L-3       -69       -46
       L-4       299        23
       L-5        69       276

         R         L         A         B         S         Q
       R-1       L-3        92       759       437         4
       R-2       L-3       575       943       299         2
       R-3       L-5       736      1357       322         1
       R-4       L-5       322       736       437         1
       R-5       L-1       460      1173       299         4
       R-6       L-3        92       667       276         4
       R-7       L-5      1035      1771       299         2
       R-8       L-3       828      1587       253         4
       R-9       L-3       621      1104       230         3
      R-10       L-2       161       667       345         1
      R-11       L-1       460      1173       391         1
      R-12       L-1       460      1311       391         4
      R-13       L-1       460       805       253         3
      R-14       L-4       506      1219       391         3
      R-15       L-5       299       874       322         4
      R-16       L-4       322       897       253         1
      R-17       L-4       552      1081       368         1
      R-18       L-4       966      1426       253         2
      R-19       L-3       897      1495       230         1
      R-20       L-3       276       897       230         2
      R-21       L-2       644      1817       437         4
      R-22       L-5      1242      2783       299         2
      R-23       L-4      1403      2392       322         1
      R-24       L-4      1104      2622       437         1
      R-25       L-5      1173      2622       299         4
      R-26       L-1       805      2162       276         4
      R-27       L-3      1702      2852       299         2
      R-28       L-2      1196      2530       253         4
      R-29       L-2       966      1909       230         3
      R-30       L-1      1035      2277       345         1
      R-31       L-3      1288      2737       391         1
      R-32       L-4      1564      2507       391         4
      R-33       L-4      1426      2484       253         3
      R-34       L-3      1288      2875       391         3
      R-35       L-1      1035      2553       322         4
      R-36       L-5       920      2208       253         1
      R-37       L-5      1265      2369       368         1
      R-38       L-5      1564      2668       253         2
      R-39       L-5      1495      2484       230         1
      R-40       L-2       621      1886       230         2
