InstanceName: vrplc11_8_10_s3
T: 3450
R: 20
Q: 15
C: 3

         L         X         Y
       L-D         0         0
       L-1      -345       276
       L-2       -23      -138
       L-3       -69       -46
       L-4       299        23
       L-5        69       276
       L-6      -368       -92
       L-7       322       276
       L-8       253      -437

         R         L         A         B         S         Q
       R-1       L-3        92       759       437         4
       R-2       L-5       299      1012       322         3
       R-3       L-6       690      1242       322         3
       R-4       L-3       575       943       299         2
       R-5       L-8       506       874       345         4
       R-6       L-5       736      1357       322         1
       R-7       L-8       506      1311       253         2
       R-8       L-4       322       782       230         2
       R-9       L-5       322       736       437         1
      R-10       L-6       575       943       230         2
      R-11       L-2       644      1817       437         4
      R-12       L-8      1380      2461       322         3
      R-13       L-1      1403      2484       322         3
      R-14       L-5      1242      2783       299         2
      R-15       L-6      1564      2484       345         4
      R-16       L-4      1403      2392       322         1
      R-17       L-5      1518      2484       253         2
      R-18       L-8      1035      2599       230         2
      R-19       L-4      1104      2622       437         1
      R-20       L-4      1495      2622       230         2
