InstanceName: vrplc12_5_20_s6
T: 150
Q: 15
C: 6
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -17       -14
       L-2        15       -12
       L-3         3        10
       L-4       -13         3
       L-5         7         3

        R         L         A         B         S         Q
     R-P1       L-2        43        69        14         4
     R-P2       L-4        33        69        12         3
     R-P3       L-5        19        35        11         1
     R-P4       L-2        20        58        10         1
     R-P5       L-1        23        59        14         1
     R-P6       L-5        27        59        15         2
     R-P7       L-4        29        68        14         1
     R-P8       L-5        58        80        13         4
     R-P9       L-2        20        38        17         3
    R-P10       L-3        17        32        16         3
    R-P11       L-3        30        50        11         3
    R-P12       L-2        44        81        12         4
    R-P13       L-2        20        43        16         1
    R-P14       L-1        23        45        13         3
    R-P15       L-5        48        74        10         2
    R-P16       L-2        20        42        16         4
    R-P17       L-2        48        71        12         2
    R-P18       L-2        41        77        11         1
    R-P19       L-3        20        54        10         3
    R-P20       L-4        17        53        14         2
     R-D1       L-5        74       121        14        -4
     R-D2       L-3        63       118        12        -3
     R-D3       L-3        39       100        11        -1
     R-D4       L-3        56        96        10        -1
     R-D5       L-2        70       115        14        -1
     R-D6       L-3        51        98        15        -2
     R-D7       L-5        63       118        14        -1
     R-D8       L-3        80       120        13        -4
     R-D9       L-3        63       114        17        -3
    R-D10       L-1        65       111        16        -3
    R-D11       L-5        50       100        11        -3
    R-D12       L-5        73       113        12        -4
    R-D13       L-5        53       121        16        -1
    R-D14       L-3        68       121        13        -3
    R-D15       L-4        78       121        10        -2
    R-D16       L-3        62       119        16        -4
    R-D17       L-5        77       125        12        -2
    R-D18       L-5        69       122        11        -1
    R-D19       L-1        62       103        10        -3
    R-D20       L-1        49       103        14        -2
