InstanceName: vrplc12_8_10_s9
T: 150
Q: 15
C: 9
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -17       -14
       L-2        15       -12
       L-3         3        10
       L-4       -13         3
       L-5         7         3
       L-6         7        17
       L-7        -7        -1
       L-8         0        -7

        R         L         A         B         S         Q
     R-P1       L-7         8        41        13         4
     R-P2       L-2        43        69        14         4
     R-P3       L-8        21        57        17         1
     R-P4       L-8        18        46        16         2
     R-P5       L-4        33        69        12         3
     R-P6       L-8        11        44        12         2
     R-P7       L-4        15        38        19         3
     R-P8       L-7        33        60        11         1
     R-P9       L-5        19        35        11         1
    R-P10       L-7        31        51        19         2
     R-D1       L-4        29        80        13        -4
     R-D2       L-5        74       121        14        -4
     R-D3       L-6        63       112        17        -1
     R-D4       L-1        53       104        16        -2
     R-D5       L-3        63       118        12        -3
     R-D6       L-5        36       100        12        -2
     R-D7       L-8        51       105        19        -3
     R-D8       L-6        67       112        11        -1
     R-D9       L-3        39       100        11        -1
    R-D10       L-3        65       108        19        -2
