InstanceName: vrplc12_11_10_s3
T: 3450
R: 20
Q: 15
C: 3

         L         X         Y
       L-D         0         0
       L-1      -391      -322
       L-2       345      -276
       L-3        69       230
       L-4      -299        69
       L-5       161        69
       L-6       161       391
       L-7      -161       -23
       L-8         0      -161
       L-9       -46       345
      L-10      -253       437
      L-11       138       138

         R         L         A         B         S         Q
       R-1       L-7       184       943       299         4
       R-2       L-2       989      1587       322         4
       R-3       L-8       483      1311       391         1
       R-4       L-1       920      1518       230         2
       R-5       L-8       414      1058       368         2
       R-6       L-3       253       828       253         2
       R-7       L-5      1058      1518       345         4
       R-8       L-9       460       828       230         4
       R-9       L-9       391      1058       322         2
      R-10       L-4       759      1587       276         3
      R-11       L-4       667      1840       299         4
      R-12       L-5      1702      2783       322         4
      R-13       L-6      1449      2576       391         1
      R-14      L-11      1863      2852       230         2
      R-15       L-1      1219      2392       368         2
      R-16       L-9       690      1817       253         2
      R-17      L-11      1495      2530       345         4
      R-18       L-3       874      1817       230         4
      R-19       L-8      1242      2369       322         2
      R-20       L-3      1449      2714       276         3
