InstanceName: vrplc12_8_20_s9
T: 3450
R: 40
Q: 15
C: 9

         L         X         Y
       L-D         0         0
       L-1      -391      -322
       L-2       345      -276
       L-3        69       230
       L-4      -299        69
       L-5       161        69
       L-6       161       391
       L-7      -161       -23
       L-8         0      -161

         R         L         A         B         S         Q
       R-1       L-7       184       943       299         4
       R-2       L-2       989      1587       322         4
       R-3       L-8       483      1311       391         1
       R-4       L-8       414      1058       368         2
       R-5       L-4       759      1587       276         3
       R-6       L-8       253      1012       276         2
       R-7       L-4       345       874       437         3
       R-8       L-7       759      1380       253         1
       R-9       L-5       437       805       253         1
      R-10       L-7       713      1173       437         2
      R-11       L-2       460      1334       230         1
      R-12       L-1       529      1357       322         1
      R-13       L-8       690      1380       230         1
      R-14       L-5       621      1357       345         2
      R-15       L-7       184       828       345         1
      R-16       L-7       253       897       368         1
      R-17       L-3       253      1081       391         4
      R-18       L-8       322      1035       437         1
      R-19       L-7       736      1472       253         1
      R-20       L-7       713      1564       414         2
      R-21       L-4       667      1840       299         4
      R-22       L-5      1702      2783       322         4
      R-23       L-6      1449      2576       391         1
      R-24       L-1      1219      2392       368         2
      R-25       L-3      1449      2714       276         3
      R-26       L-5       828      2300       276         2
      R-27       L-8      1173      2415       437         3
      R-28       L-6      1541      2576       253         1
      R-29       L-3       897      2300       253         1
      R-30       L-3      1495      2484       437         2
      R-31       L-3      1288      2208       230         1
      R-32       L-2      1610      2645       322         1
      R-33       L-7      1150      2668       230         1
      R-34       L-3      1173      2254       345         2
      R-35       L-3       874      2300       345         1
      R-36       L-8       851      2047       368         1
      R-37       L-6       851      2185       391         4
      R-38       L-4      1150      2116       437         1
      R-39       L-6      1518      2530       253         1
      R-40       L-8      1357      2553       414         2
