InstanceName: vrplc13_11_40_s9
T: 150
Q: 15
C: 9
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -12        -3
       L-2        -7        16
       L-3        16        -2
       L-4        -6       -12
       L-5       -17        -7
       L-6        -5       -14
       L-7         8       -10
       L-8        16        10
       L-9       -16       -14
      L-10        -2         3
      L-11        -7        14

        R         L         A         B         S         Q
     R-P1      L-11        16        31        14         2
     R-P2       L-9        27        54        19         2
     R-P3      L-10        28        49        13         1
     R-P4       L-7        13        44        12         3
     R-P5      L-10        21        45        19         4
     R-P6       L-8        44        75        10         4
     R-P7      L-10        37        73        10         3
     R-P8       L-2        18        48        16         3
     R-P9       L-4        16        54        18         4
    R-P10       L-3        17        46        17         1
    R-P11       L-6        15        33        14         3
    R-P12       L-2        18        46        10         2
    R-P13       L-3        17        47        14         1
    R-P14       L-9        25        63        16         1
    R-P15       L-3        17        43        10         2
    R-P16       L-9        22        43        11         2
    R-P17      L-10        19        47        13         4
    R-P18       L-9        22        39        15         2
    R-P19       L-5        19        46        13         3
    R-P20      L-10        22        56        12         3
    R-P21      L-10        39        62        14         1
    R-P22       L-3        17        34        10         4
    R-P23       L-5        19        48        10         4
    R-P24       L-2        28        51        11         3
    R-P25       L-2        30        58        13         1
    R-P26      L-11        33        68        13         2
    R-P27      L-11        18        33        10         4
    R-P28       L-2        18        33        13         3
    R-P29       L-5        19        41        15         4
    R-P30       L-7        37        65        11         3
    R-P31       L-4        31        52        10         4
    R-P32       L-7        13        46        12         2
    R-P33       L-7        18        38        13         1
    R-P34       L-6        15        36        17         2
    R-P35       L-5        47        78        15         1
    R-P36       L-8        19        40        11         4
    R-P37       L-7        23        54        14         2
    R-P38       L-4        14        41        18         3
    R-P39       L-1        38        65        17         2
    R-P40       L-1        41        72        11         4
     R-D1       L-1        48       116        14        -2
     R-D2       L-5        54       102        19        -2
     R-D3       L-2        55       109        13        -1
     R-D4       L-5        51        96        12        -3
     R-D5       L-5        59       107        19        -4
     R-D6      L-10        74       135        10        -4
     R-D7       L-2        61       106        10        -3
     R-D8       L-1        54        94        16        -3
     R-D9       L-1        45       111        18        -4
    R-D10       L-8        46       103        17        -1
    R-D11      L-11        58        99        14        -3
    R-D12       L-5        54       111        10        -2
    R-D13      L-10        50       101        14        -1
    R-D14       L-6        52       112        16        -1
    R-D15       L-5        61       101        10        -2
    R-D16      L-11        63       118        11        -2
    R-D17       L-9        55        95        13        -4
    R-D18       L-4        48       115        15        -2
    R-D19       L-7        58       107        13        -3
    R-D20       L-1        46        88        12        -3
    R-D21       L-4        69       118        14        -1
    R-D22      L-10        46        98        10        -4
    R-D23       L-2        55       110        10        -4
    R-D24       L-1        59       102        11        -3
    R-D25      L-11        45        89        13        -1
    R-D26      L-10        59       115        13        -2
    R-D27       L-3        57       111        10        -4
    R-D28       L-6        62       102        13        -3
    R-D29      L-11        58       113        15        -4
    R-D30       L-8        70       118        11        -3
    R-D31       L-9        52        96        10        -4
    R-D32       L-6        39        91        12        -2
    R-D33      L-10        48        91        13        -1
    R-D34      L-10        50        90        17        -2
    R-D35       L-4        75       117        15        -1
    R-D36       L-4        62       109        11        -4
    R-D37      L-11        66       116        14        -2
    R-D38       L-1        43       109        18        -3
    R-D39       L-6        69       117        17        -2
    R-D40       L-9        64       115        11        -4
