InstanceName: vrplc13_5_30_s4
T: 150
Q: 15
C: 4
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -12        -3
       L-2        -7        16
       L-3        16        -2
       L-4        -6       -12
       L-5       -17        -7

        R         L         A         B         S         Q
     R-P1       L-2        18        48        16         3
     R-P2       L-4        16        54        18         4
     R-P3       L-2        18        46        10         2
     R-P4       L-3        17        43        10         2
     R-P5       L-5        19        48        10         4
     R-P6       L-2        28        51        11         3
     R-P7       L-5        47        78        15         1
     R-P8       L-4        14        41        18         3
     R-P9       L-1        14        38        11         1
    R-P10       L-4        14        53        11         2
    R-P11       L-3        17        35        14         4
    R-P12       L-1        23        54        18         3
    R-P13       L-4        35        71        10         2
    R-P14       L-1        13        33        17         2
    R-P15       L-2        18        48        17         3
    R-P16       L-4        14        50        10         3
    R-P17       L-2        18        52        18         3
    R-P18       L-3        17        48        18         2
    R-P19       L-4        29        61        10         2
    R-P20       L-5        19        35        19         4
    R-P21       L-4        32        67        12         4
    R-P22       L-5        21        60        10         1
    R-P23       L-5        20        46        17         1
    R-P24       L-5        39        70        11         2
    R-P25       L-4        47        70        13         3
    R-P26       L-5        19        43        13         4
    R-P27       L-5        24        46        14         1
    R-P28       L-5        21        46        17         2
    R-P29       L-2        18        34        18         4
    R-P30       L-5        33        61        17         1
     R-D1       L-1        54        94        16        -3
     R-D2       L-1        45       111        18        -4
     R-D3       L-5        54       111        10        -2
     R-D4       L-5        61       101        10        -2
     R-D5       L-2        55       110        10        -4
     R-D6       L-1        59       102        11        -3
     R-D7       L-4        75       117        15        -1
     R-D8       L-1        43       109        18        -3
     R-D9       L-2        45        97        11        -1
    R-D10       L-5        38        85        11        -2
    R-D11       L-5        65       113        14        -4
    R-D12       L-2        61       110        18        -3
    R-D13       L-5        58       103        10        -2
    R-D14       L-5        37        91        17        -2
    R-D15       L-3        65       105        17        -3
    R-D16       L-2        53       113        10        -3
    R-D17       L-1        56       111        18        -3
    R-D18       L-1        64       114        18        -2
    R-D19       L-1        50       109        10        -2
    R-D20       L-1        45       113        19        -4
    R-D21       L-3        69       111        12        -4
    R-D22       L-3        65       118        10        -1
    R-D23       L-4        50        93        17        -1
    R-D24       L-4        63       109        11        -2
    R-D25       L-1        71       119        13        -3
    R-D26       L-4        45        86        13        -4
    R-D27       L-2        64       107        14        -1
    R-D28       L-1        45       106        17        -2
    R-D29       L-4        65       111        18        -4
    R-D30       L-1        57       105        17        -1
