InstanceName: vrplc13_11_15_s10
T: 3450
R: 30
Q: 15
C: 10

         L         X         Y
       L-D         0         0
       L-1      -276       -69
       L-2      -161       368
       L-3       368       -46
       L-4      -138      -276
       L-5      -391      -161
       L-6      -115      -322
       L-7       184      -230
       L-8       368       230
       L-9      -368      -322
      L-10       -46        69
      L-11      -161       322

         R         L         A         B         S         Q
       R-1      L-11       368       713       322         2
       R-2       L-9       621      1242       437         2
       R-3      L-10       644      1127       299         1
       R-4       L-7       299      1012       276         3
       R-5      L-10       483      1035       437         4
       R-6       L-8      1012      1725       230         4
       R-7      L-10       851      1679       230         3
       R-8       L-2       414      1104       368         3
       R-9       L-4       368      1242       414         4
      R-10       L-3       391      1058       391         1
      R-11       L-6       345       759       322         3
      R-12       L-2       414      1058       230         2
      R-13       L-3       391      1081       322         1
      R-14       L-9       575      1449       368         1
      R-15       L-3       391       989       230         2
      R-16       L-1      1104      2668       322         2
      R-17       L-5      1242      2346       437         2
      R-18       L-2      1265      2507       299         1
      R-19       L-5      1173      2208       276         3
      R-20       L-5      1357      2461       437         4
      R-21      L-10      1702      3105       230         4
      R-22       L-2      1403      2438       230         3
      R-23       L-1      1242      2162       368         3
      R-24       L-1      1035      2553       414         4
      R-25       L-8      1058      2369       391         1
      R-26      L-11      1334      2277       322         3
      R-27       L-5      1242      2553       230         2
      R-28      L-10      1150      2323       322         1
      R-29       L-6      1196      2576       368         1
      R-30       L-5      1403      2323       230         2
