InstanceName: vrplc13_5_10_s6
T: 3450
R: 20
Q: 15
C: 6

         L         X         Y
       L-D         0         0
       L-1      -276       -69
       L-2      -161       368
       L-3       368       -46
       L-4      -138      -276
       L-5      -391      -161

         R         L         A         B         S         Q
       R-1       L-2       414      1104       368         3
       R-2       L-4       368      1242       414         4
       R-3       L-2       414      1058       230         2
       R-4       L-3       391       989       230         2
       R-5       L-5       437      1104       230         4
       R-6       L-2       644      1173       253         3
       R-7       L-5      1081      1794       345         1
       R-8       L-4       322       943       414         3
       R-9       L-1       322       874       253         1
      R-10       L-4       322      1219       253         2
      R-11       L-1      1242      2162       368         3
      R-12       L-1      1035      2553       414         4
      R-13       L-5      1242      2553       230         2
      R-14       L-5      1403      2323       230         2
      R-15       L-2      1265      2530       230         4
      R-16       L-1      1357      2346       253         3
      R-17       L-4      1725      2691       345         1
      R-18       L-1       989      2507       414         3
      R-19       L-2      1035      2231       253         1
      R-20       L-5       874      1955       253         2
