InstanceName: vrplc13_8_20_s3
T: 3450
R: 40
Q: 15
C: 3

         L         X         Y
       L-D         0         0
       L-1      -276       -69
       L-2      -161       368
       L-3       368       -46
       L-4      -138      -276
       L-5      -391      -161
       L-6      -115      -322
       L-7       184      -230
       L-8       368       230

         R         L         A         B         S         Q
       R-1       L-7       299      1012       276         3
       R-2       L-2       414      1104       368         3
       R-3       L-4       368      1242       414         4
       R-4       L-3       391      1058       391         1
       R-5       L-2       414      1058       230         2
       R-6       L-3       391       989       230         2
       R-7       L-5       437      1058       299         3
       R-8       L-5       437      1104       230         4
       R-9       L-2       644      1173       253         3
      R-10       L-2       414       759       299         3
      R-11       L-7       851      1495       253         3
      R-12       L-7       299      1058       276         2
      R-13       L-5      1081      1794       345         1
      R-14       L-8       437       920       253         4
      R-15       L-4       322       943       414         3
      R-16       L-1       874      1495       391         2
      R-17       L-1       322       874       253         1
      R-18       L-4       322      1219       253         2
      R-19       L-3       391       805       322         4
      R-20       L-7       460       920       345         2
      R-21       L-5      1173      2208       276         3
      R-22       L-1      1242      2162       368         3
      R-23       L-1      1035      2553       414         4
      R-24       L-8      1058      2369       391         1
      R-25       L-5      1242      2553       230         2
      R-26       L-5      1403      2323       230         2
      R-27       L-7      1334      2461       299         3
      R-28       L-2      1265      2530       230         4
      R-29       L-1      1357      2346       253         3
      R-30       L-6      1426      2346       299         3
      R-31       L-8      1610      2714       253         3
      R-32       L-6       897      2093       276         2
      R-33       L-4      1725      2691       345         1
      R-34       L-4      1426      2507       253         4
      R-35       L-1       989      2507       414         3
      R-36       L-6      1587      2691       391         2
      R-37       L-2      1035      2231       253         1
      R-38       L-5       874      1955       253         2
      R-39       L-5      1495      2599       322         4
      R-40       L-4      1150      2369       345         2
