InstanceName: vrplc9_11_40_s3
T: 150
Q: 15
C: 3
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -13        11
       L-2         9        -7
       L-3       -15         8
       L-4       -16       -15
       L-5        -8        15
       L-6       -12        -5
       L-7         0       -16
       L-8       -20        14
       L-9         4        -7
      L-10       -19        12
      L-11        -5        -9

        R         L         A         B         S         Q
     R-P1       L-3        17        39        10         3
     R-P2       L-1        18        52        14         1
     R-P3       L-3        24        46        13         3
     R-P4       L-3        17        36        13         4
     R-P5      L-10        34        64        12         2
     R-P6      L-11        43        61        11         4
     R-P7       L-6        13        29        13         4
     R-P8       L-7        16        55        14         3
     R-P9       L-2        21        59        16         1
    R-P10       L-5        17        37        12         4
    R-P11       L-4        22        60        11         4
    R-P12       L-8        25        64        14         4
    R-P13      L-10        41        57        16         3
    R-P14       L-6        13        45        12         2
    R-P15       L-7        22        60        16         1
    R-P16       L-7        30        66        10         4
    R-P17      L-10        27        62        17         3
    R-P18      L-10        40        72        14         4
    R-P19       L-7        16        45        19         2
    R-P20      L-11        16        41        16         1
    R-P21       L-2        12        32        12         1
    R-P22       L-4        31        63        13         1
    R-P23       L-6        37        54        13         2
    R-P24       L-7        16        53        19         2
    R-P25       L-6        14        35        19         2
    R-P26       L-2        12        42        12         4
    R-P27       L-9        18        41        16         3
    R-P28      L-11        11        50        16         4
    R-P29       L-3        17        32        19         2
    R-P30      L-11        16        53        12         1
    R-P31       L-4        22        39        19         1
    R-P32      L-11        13        46        17         3
    R-P33       L-4        35        51        14         4
    R-P34       L-9        13        36        18         3
    R-P35       L-6        18        53        17         2
    R-P36       L-1        18        33        16         3
    R-P37       L-8        25        62        13         4
    R-P38       L-3        17        50        17         4
    R-P39       L-5        17        33        18         4
    R-P40       L-5        27        47        13         4
     R-D1      L-11        47       115        10        -3
     R-D2       L-5        39        93        14        -1
     R-D3       L-1        41        89        13        -3
     R-D4       L-7        59       109        13        -4
     R-D5       L-8        49        92        12        -2
     R-D6       L-3        74       117        11        -4
     R-D7       L-3        40        83        13        -4
     R-D8       L-1        60       104        14        -3
     R-D9      L-11        52       120        16        -1
    R-D10       L-6        50       116        12        -4
    R-D11      L-10        61       102        11        -4
    R-D12      L-10        42        95        14        -4
    R-D13       L-8        60       103        16        -3
    R-D14       L-8        46       102        12        -2
    R-D15       L-6        55       106        16        -1
    R-D16       L-1        70       121        10        -4
    R-D17       L-8        47       103        17        -3
    R-D18       L-8        57       102        14        -4
    R-D19      L-11        44        85        19        -2
    R-D20       L-9        42        94        16        -1
    R-D21       L-9        29        94        12        -1
    R-D22      L-11        57       125        13        -1
    R-D23       L-7        67       116        13        -2
    R-D24       L-9        45        99        19        -2
    R-D25      L-10        52       106        19        -2
    R-D26       L-6        46       111        12        -4
    R-D27       L-7        44       109        16        -3
    R-D28       L-7        36        79        16        -4
    R-D29      L-10        42        86        19        -2
    R-D30       L-6        37        97        12        -1
    R-D31       L-6        52       110        19        -1
    R-D32       L-2        45        92        17        -3
    R-D33      L-11        62       104        14        -4
    R-D34       L-1        56       109        18        -3
    R-D35       L-3        49        99        17        -2
    R-D36       L-2        63       121        16        -3
    R-D37       L-6        59       109        13        -4
    R-D38       L-1        38       101        17        -4
    R-D39       L-2        63       120        18        -4
    R-D40       L-9        66       121        13        -4
