InstanceName: vrplc9_5_10_s1
T: 150
Q: 15
C: 1
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -13        11
       L-2         9        -7
       L-3       -15         8
       L-4       -16       -15
       L-5        -8        15

        R         L         A         B         S         Q
     R-P1       L-1        18        52        14         1
     R-P2       L-3        24        46        13         3
     R-P3       L-1        18        33        16         3
     R-P4       L-3        17        50        17         4
     R-P5       L-5        17        33        18         4
     R-P6       L-1        31        56        14         2
     R-P7       L-2        22        48        15         1
     R-P8       L-1        47        73        18         2
     R-P9       L-2        18        48        10         2
    R-P10       L-4        22        38        15         1
     R-D1       L-5        39        93        14        -1
     R-D2       L-1        41        89        13        -3
     R-D3       L-2        63       121        16        -3
     R-D4       L-1        38       101        17        -4
     R-D5       L-2        63       120        18        -4
     R-D6       L-5        52        94        14        -2
     R-D7       L-4        64       112        15        -1
     R-D8       L-5        72       112        18        -2
     R-D9       L-3        57       105        10        -2
    R-D10       L-2        64       119        15        -1
