InstanceName: vrplc9_8_40_s1
T: 150
Q: 15
C: 1
ResourceType: ServiceResources

         L         X         Y
       L-D         0         0
       L-1       -13        11
       L-2         9        -7
       L-3       -15         8
       L-4       -16       -15
       L-5        -8        15
       L-6       -12        -5
       L-7         0       -16
       L-8       -20        14

        R         L         A         B         S         Q
     R-P1       L-1        18        52        14         1
     R-P2       L-3        24        46        13         3
     R-P3       L-3        17        36        13         4
     R-P4       L-6        13        29        13         4
     R-P5       L-7        16        55        14         3
     R-P6       L-5        17        37        12         4
     R-P7       L-6        13        45        12         2
     R-P8       L-7        22        60        16         1
     R-P9       L-7        30        66        10         4
    R-P10       L-6        37        54        13         2
    R-P11       L-2        12        42        12         4
    R-P12       L-4        22        39        19         1
    R-P13       L-6        18        53        17         2
    R-P14       L-1        18        33        16         3
    R-P15       L-8        25        62        13         4
    R-P16       L-3        17        50        17         4
    R-P17       L-5        17        33        18         4
    R-P18       L-7        16        32        16         2
    R-P19       L-1        31        56        14         2
    R-P20       L-2        22        48        15         1
    R-P21       L-1        47        73        18         2
    R-P22       L-7        16        39        12         3
    R-P23       L-2        12        31        10         4
    R-P24       L-6        37        58        10         3
    R-P25       L-4        22        52        13         1
    R-P26       L-8        27        54        15         3
    R-P27       L-4        22        56        13         3
    R-P28       L-2        18        48        10         2
    R-P29       L-7        37        72        17         2
    R-P30       L-2        31        59        17         2
    R-P31       L-4        22        38        15         1
    R-P32       L-3        17        42        15         2
    R-P33       L-2        12        46        17         4
    R-P34       L-4        22        52        19         1
    R-P35       L-1        52        89        14         2
    R-P36       L-1        18        55        10         1
    R-P37       L-6        13        41        11         3
    R-P38       L-8        28        44        19         4
    R-P39       L-8        34        67        14         2
    R-P40       L-7        16        44        15         4
     R-D1       L-5        39        93        14        -1
     R-D2       L-1        41        89        13        -3
     R-D3       L-7        59       109        13        -4
     R-D4       L-3        40        83        13        -4
     R-D5       L-1        60       104        14        -3
     R-D6       L-6        50       116        12        -4
     R-D7       L-8        46       102        12        -2
     R-D8       L-6        55       106        16        -1
     R-D9       L-1        70       121        10        -4
    R-D10       L-7        67       116        13        -2
    R-D11       L-6        46       111        12        -4
    R-D12       L-6        52       110        19        -1
    R-D13       L-3        49        99        17        -2
    R-D14       L-2        63       121        16        -3
    R-D15       L-6        59       109        13        -4
    R-D16       L-1        38       101        17        -4
    R-D17       L-2        63       120        18        -4
    R-D18       L-5        65       105        16        -2
    R-D19       L-5        52        94        14        -2
    R-D20       L-4        64       112        15        -1
    R-D21       L-5        72       112        18        -2
    R-D22       L-5        61       104        12        -3
    R-D23       L-8        58       102        10        -4
    R-D24       L-8        68       113        10        -3
    R-D25       L-6        46        97        13        -1
    R-D26       L-1        50       107        15        -3
    R-D27       L-6        46       113        13        -3
    R-D28       L-3        57       105        10        -2
    R-D29       L-6        71       118        17        -2
    R-D30       L-6        70       119        17        -2
    R-D31       L-2        64       119        15        -1
    R-D32       L-7        61       103        15        -2
    R-D33       L-7        42       106        17        -4
    R-D34       L-7        58       111        19        -1
    R-D35       L-3        70       111        14        -2
    R-D36       L-8        36        80        10        -1
    R-D37       L-2        46        95        11        -3
    R-D38       L-6        68       113        19        -4
    R-D39       L-1        56       101        14        -2
    R-D40       L-2        44        91        15        -4
