InstanceName: vrplc9_5_10_s4
T: 3450
R: 20
Q: 15
C: 4

         L         X         Y
       L-D         0         0
       L-1      -299       253
       L-2       207      -161
       L-3      -345       184
       L-4      -368      -345
       L-5      -184       345

         R         L         A         B         S         Q
       R-1       L-1       414      1196       322         1
       R-2       L-3       552      1058       299         3
       R-3       L-1       414       759       368         3
       R-4       L-3       391      1150       391         4
       R-5       L-5       391       759       414         4
       R-6       L-1       713      1288       322         2
       R-7       L-2       506      1104       345         1
       R-8       L-1      1081      1679       414         2
       R-9       L-2       414      1104       230         2
      R-10       L-4       506       874       345         1
      R-11       L-5       897      2139       322         1
      R-12       L-1       943      2047       299         3
      R-13       L-2      1449      2783       368         3
      R-14       L-1       874      2323       391         4
      R-15       L-2      1449      2760       414         4
      R-16       L-5      1196      2162       322         2
      R-17       L-4      1472      2576       345         1
      R-18       L-5      1656      2576       414         2
      R-19       L-3      1311      2415       230         2
      R-20       L-2      1472      2737       345         1
