InstanceName: Solomon-R210-75
Q: 1000

         R         X         Y         Q         A         B         S
       R-D        35        35         0         0      1000         0
       R-1        41        49        10       190       974        10
       R-2        35        17         7        18       792        10
       R-3        55        45        13       289       822        10
       R-4        55        20        19       679       800        10
       R-5        15        30        26        20       906        10
       R-6        25        30         3       355       574        10
       R-7        20        50         5        72       669        10
       R-8        10        43         9       393       492        10
       R-9        55        60        16       394       503        10
      R-10        30        60        16       517       692        10
      R-11        20        65        12       206       325        10
      R-12        50        35        19        15       725        10
      R-13        30        25        23       694       823        10
      R-14        15        10        20        32       694        10
      R-15        30         5         8       176       299        10
      R-16        10        20        19       102       543        10
      R-17         5        30         2       673       930        10
      R-18        20        40        12       229       582        10
      R-19        15        60        17        95       552        10
      R-20        45        65         9       418       829        10
      R-21        45        20        11        18       727        10
      R-22        45        10        18       349       554        10
      R-23        55         5        29       206       325        10
      R-24        65        35         3       435       960        10
      R-25        65        20         6       826       956        10
      R-26        45        30        17       328       927        10
      R-27        35        40        16        44       315        10
      R-28        41        37        16         6       526        10
      R-29        64        42         9        29       513        10
      R-30        40        60        21       199       414        10
      R-31        31        52        27        17       744        10
      R-32        35        69        23       482       955        10
      R-33        53        52        11        24       299        10
      R-34        65        55        14       265       878        10
      R-35        63        65         8       626       873        10
      R-36         2        60         5        41       328        10
      R-37        20        20         8       339       960        10
      R-38         5         5        16       298       409        10
      R-39        60        12        31        33       344        10
      R-40        40        25         9       300       497        10
      R-41        42         7         5       336       571        10
      R-42        24        12         5        25       292        10
      R-43        23         3         7       458       867        10
      R-44        11        14        18       230       343        10
      R-45         6        38        16        29       309        10
      R-46         2        48         1       338       805        10
      R-47         8        56        27        34       602        10
      R-48        13        52        36       200       962        10
      R-49         6        68        30       441       600        10
      R-50        47        47        13       272       917        10
      R-51        49        58        10       176       625        10
      R-52        27        43         9        11       748        10
      R-53        37        31        14       403       500        10
      R-54        57        29        18       475       900        10
      R-55        63        23         2       620       739        10
      R-56        53        12         6       525       752        10
      R-57        32        12         7       246       705        10
      R-58        36        26        18       854       980        10
      R-59        21        24        28        17       972        10
      R-60        17        34         3       449       971        10
      R-61        12        24        13       126       541        10
      R-62        24        58        19       168       297        10
      R-63        27        69        10        34       588        10
      R-64        15        77         9       154       393        10
      R-65        62        77        20        49       308        10
      R-66        49        73        25       532       753        10
      R-67        67         5        25       291       404        10
      R-68        56        39        36       577       812        10
      R-69        37        47         6       165       290        10
      R-70        37        56         5       668       968        10
      R-71        57        68        15        98       537        10
      R-72        47        16        25        22       915        10
      R-73        44        17         9       143       564        10
      R-74        46        13         8       681       802        10
      R-75        49        11        18        27       711        10
